Athlete_Name,Country,Coach,Team,Gold_Medals_Per_Country
Hwang Uijo,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Jeong Seungwon,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Jeong Seungwon,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Kang Yoonseong,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Kang Yoonseong,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Kim Jingyu,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Kim Jingyu,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Kim Jaewoo,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Kim Jaewoo,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Kim Jinya,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Kim Jinya,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Lee Sangmin,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Lee Sangmin,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Kwon Changhoon,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Kwon Changhoon,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Lee Donggyeong,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Lee Donggyeong,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Lee Youhyeon,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Lee Youhyeon,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Song Minkyu,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Song Minkyu,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Lee Dongjun,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Lee Dongjun,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Um Wonsang,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Um Wonsang,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Seol Youngwoo,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Seol Youngwoo,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Lee Kangin,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Lee Kangin,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Park Jisu,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Park Jisu,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Won Dujae,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Won Dujae,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Song Bumkeun,Republic of Korea,Kim Hagbum,Republic of Korea,6.0
Song Bumkeun,Republic of Korea,Kim Chanbin,Republic of Korea,6.0
Baleiwairiki Iosefo Masikau,Fiji,Fuli Saiasi,Fiji,1.0
Baleiwairiki Iosefo Masikau,Fiji,Baber Gareth Colin,Fiji,1.0
Botitu Vilimoni,Fiji,Fuli Saiasi,Fiji,1.0
Botitu Vilimoni,Fiji,Baber Gareth Colin,Fiji,1.0
Bolaca Napolioni,Fiji,Fuli Saiasi,Fiji,1.0
Bolaca Napolioni,Fiji,Baber Gareth Colin,Fiji,1.0
Cavuru Lavena,Fiji,Fuli Saiasi,Fiji,1.0
Cavuru Lavena,Fiji,Baber Gareth Colin,Fiji,1.0
Derenalagi Mele,Fiji,Fuli Saiasi,Fiji,1.0
Derenalagi Mele,Fiji,Baber Gareth Colin,Fiji,1.0
Ulunisau Reapi,Fiji,Fuli Saiasi,Fiji,1.0
Ulunisau Reapi,Fiji,Baber Gareth Colin,Fiji,1.0
Riwai Viniana,Fiji,Fuli Saiasi,Fiji,1.0
Riwai Viniana,Fiji,Baber Gareth Colin,Fiji,1.0
Solikoviti Vasiti,Fiji,Fuli Saiasi,Fiji,1.0
Solikoviti Vasiti,Fiji,Baber Gareth Colin,Fiji,1.0
Nacuqu Waisea,Fiji,Fuli Saiasi,Fiji,1.0
